OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods 2,"CBD, BID and GBD Boundaries as of 2017 2",Central Market/Tenderloin Boundary Polygon - Updated 2,Neighborhoods
12665,2145 Market Street,24 Hour Fitness,Market Street,SIDEWALK,1,2,,2019,12,37.76673878,-122.4297628,POINT (-122.429762772 37.766738779),1/31/2020 14:21,6/17/2024 10:17,Castro/Upper Market,8,37,3,5,5,88,9,,37
14160,1601 Haight Street,Hobson's Choice,Haight Street,SIDEWALK,2,4,,2021,3,,,POINT (-122.448715532 37.76978876),12/29/2021 16:46,6/17/2024 10:17,Haight Ashbury,5,25,7,11,3,91,,,25
21410,499 Arguello,Office Depot,Arguello,SIDEWALK,1,2,,2024,2,,,,1/5/2024 14:11,6/17/2024 10:17,,,,,,,,,,
10788,700 25th Ave,Richmond Medical Group,25TH,SIDEWALK,1,2,,2017,2,37.77625,-122.48437,POINT (-122.484370252 37.776250131),1/29/2020 12:38,6/17/2024 10:17,Outer Richmond,1,8,8,4,29,92,,,8
8816,5017 Geary  Blvd,Lou's Cafe,Geary Blvd,SIDEWALK,1,2,,2017,9,0,0,POINT (-122.47313458 37.78040617),1/29/2020 12:38,6/17/2024 10:17,Outer Richmond,1,5,8,4,29,93,,,5
10589,500 FLORIDA ST,Panorama Bakery,FLORIDA,SIDEWALK,2,4,,2013,7,37.762585,-122.411471,POINT (-122.411470796 37.762585004),1/29/2020 12:38,6/17/2024 10:17,Mission,9,53,3,2,20,169,,,53
11527,1916 IRVING ST,i cafe,IRVING,SIDEWALK,1,2,,2004,0,37.763708,-122.478583,POINT (-122.478582786 37.763708009),1/29/2020 12:38,6/17/2024 10:17,Sunset/Parkside,4,39,10,7,35,62,,,39
21767,3716 Geary,Satellite Healthcare,Geary,SIDEWALK,1,2,,2024,2,,,POINT (-122.459282019 37.78183102),1/5/2024 14:18,6/17/2024 10:17,Inner Richmond,1,5,8,4,11,98,,,5
9309,650A Florida St,Green Cleaners,FLORIDA,SIDEWALK,1,2,,2016,7,37.761046,-122.411111,POINT (-122.411111063 37.76104648),1/29/2020 12:38,6/17/2024 10:17,Mission,9,53,3,2,20,169,,,53
10633,1299 CHURCH ST,Green Twig Salon,CHURCH,SIDEWALK,1,2,,2013,3,37.750234,-122.427114,POINT (-122.427113796 37.750234006),1/29/2020 12:38,6/17/2024 10:17,Noe Valley,8,52,3,5,22,84,,,52
20317,55 Spear St,Google (in One Market Plaza),Spear St,SIDEWALK,2,4,,2022,4,,,POINT (-122.394752752 37.793079217),2/3/2023 15:11,6/17/2024 10:17,Financial District/South Beach,6,108,6,10,8,25,3,,108
10603,1115 GEARY BLVD,residential,GEARY,SIDEWALK,1,2,,2011,3,37.785373,-122.422178,POINT (-122.422177792 37.785373003),1/29/2020 12:38,6/17/2024 10:17,Western Addition,2,100,4,11,39,6,,,100
9958,1695 MISSION ST,Discount Builders Supply,MISSION,SIDEWALK,1,2,,2003,0,37.770489,-122.419111,POINT (-122.419110794 37.770489004),1/29/2020 12:38,6/17/2024 10:17,Mission,6,32,1,10,20,89,,,32
14016,3430 Kirkham St,,Kirkham St,SIDEWALK,1,2,,2020,12,,,POINT (-122.497591961 37.758926498),12/31/2020 12:21,6/17/2024 10:17,Sunset/Parkside,4,39,10,7,35,104,,,39
9386,448 HAIGHT ST,Rooky Ricardo's Records,HAIGHT,ROADWAY,6,12,,2011,3,37.772483,-122.42969,POINT (-122.429689792 37.772483004),1/29/2020 12:38,6/17/2024 10:17,Hayes Valley,5,26,4,11,9,137,,,26
12498,425 Market St.,Morrison and Foerster,Market St.,SIDEWALK,4,8,,2019,12,37.78759424,-122.4035836,POINT (-122.40358359 37.787594235),1/31/2020 14:21,6/17/2024 10:17,Financial District/South Beach,6,19,5,3,8,43,4,,19
20308,4898 Irving,,Irving,SIDEWALK,2,4,,2022,4,,,POINT (-122.509587441 37.762137078),2/3/2023 15:11,6/17/2024 10:17,Sunset/Parkside,4,39,10,7,35,147,,,39
12291,800 PRESIDIO AVE,Booker T. Washington Community Service Center,PRESIDIO,SIDEWALK,2,4,,2015,1,37.784276999999996,-122.445878,POINT (-122.445878488 37.784277005),1/29/2020 12:38,6/17/2024 10:17,Presidio Heights,5,103,8,11,31,77,,,103
8931,298 11th Street,SF Oasis,11th Street,SIDEWALK,2,4,,2018,1,0,0,POINT (-122.414387161 37.771886559),1/29/2020 12:38,6/17/2024 10:17,Mission,6,32,1,10,20,180,,,32
8659,557 Waller Street,Thriving Life Wellness Center,Waller Street,SIDEWALK,1,2,,2018,2,0,0,POINT (-122.432796003 37.770799547),1/29/2020 12:38,6/17/2024 10:17,Haight Ashbury,8,28,7,5,3,183,,,28
10335,4734 03rd Street,Trifusion Yoga,03RD,SIDEWALK,2,4,,2017,2,37.735346,-122.390662,POINT (-122.390662398 37.735346214),1/29/2020 12:38,6/17/2024 10:17,Bayview Hunters Point,10,86,2,9,1,26,,,86
10322,365 VERMONT ST,NextSpace,VERMONT,SIDEWALK,4,8,,2015,1,37.765153,-122.40422,POINT (-122.404219797 37.765153003),1/29/2020 12:38,6/17/2024 10:17,Mission Bay,10,54,1,9,4,68,15,,54
21391,3161 24th St,,24th St,SIDEWALK,2,4,,2023,10,,,POINT (-122.415557732 37.752371189),11/13/2023 15:39,6/17/2024 10:17,Mission,9,53,3,2,20,166,,,53
13521,5107 Mission Street,Evelyn Lloren Caoili DDS,Mission Street,SIDEWALK,2,4,,2020,3,,,POINT (-122.441121713 37.716340637),6/19/2020 15:02,6/17/2024 10:17,Outer Mission,11,80,9,1,28,122,,,80
10142,251 RHODE ISLAND ST,Office Building and Gallery,RHODE ISLAND,SIDEWALK,2,4,,2012,4,37.766746999999995,-122.402425,POINT (-122.402424798 37.766747003),1/29/2020 12:38,6/17/2024 10:17,Mission Bay,6,33,1,9,4,68,,,33
